,sample,cox1,cox3,dioxygenase,dsr,katG,nap,narG,nir,nod,nos,nrd,pmoA,ribo_reductase,sod,Cyt_bd_oxid,O2,depth,Latitude,Longitude,Lyapunov,NO2,NO3,NO2NO3,PO4,size_fraction,Temperature,Carbon.total,CO3,HCO3,Density,Alkalinity.total,Nitracline,Brunt.Väisälä,Iron.5m,Residence.time,Okubo.Weiss,study,mcrA,nor,aerobic_score,anaerobic_score
0,TARA_A100000165,377.412099373,198.565003805,0.1180608099999999,41.44473984,285.772372598,1.06146252,0.0,0.0,0.31188485,0.025293754,0.0,0.0,364.726569823,366.517068327,18.49996734,208.245,5.0,35.759,14.2574,0.066158,0.01833,,0.118,0.0256,1.6,21.48665,0.0103,0.0228,0.0,26.565263,0.001,,61.0,0.001387895,15.222222,-0.124391,1,,,1226.476045599,42.531496114
1,TARA_A100001195,244.6931844045,47.533314813,1.320358835,4.289834093,172.088140013,2.515448862,0.0,0.15498355,0.2838115949999999,0.145678837,0.0,0.0,213.947052425,166.578592255,5.3672085460000005,183.589125,5.0,21.9467,38.2517,0.0,0.003,0.253501,0.006,0.04575,1.6,27.3097,0.007,0.00775,0.0,25.59125,0.0019,153.0,77.0,0.001387791,0.0,0.450777,1,,,678.2616916554999,7.105945341999999
2,TARA_A200000369,853.130630322,278.773744102,0.13172458,34.702815407,613.072158053,1.283065004,0.013906481,0.0,0.0,0.1628434429999999,0.0,0.0,1287.972316844,614.008761471,6.169218037,208.725167,5.0,37.4956,15.4945,,0.016565,,0.037,0.02835,1.6,20.858567,0.00305,0.00665,0.0,26.929367,0.0002,,43.0,0.001387897,3.888889,-0.010883,1,,,3032.948849321,36.148723854
3,TARA_B100000071,390.981232869,34.887532697,6.978716449,9.78434139,492.8033839805,47.468712953,33.092871378,4.998694503,12.207656244,2.788364309,0.0,0.0,257.873242295,820.9688728699999,72.78901501600001,2.9502,340.0,19.0351,64.5638,0.069484,0.691,22.18992,23.43,2.639,1.6,14.901445,0.0,0.0,0.0061,26.787485,0.0,109.0,114.0,0.001387726,0.0,0.005785,1,,,1176.5453918414998,65.040113155
4,TARA_B100000101,294.029736397,4.07644425,1.511739979,2.432484688,754.657714522,66.855253854,11.205586274,1.79875114,9.611820856,6.269555709,0.0,0.0,295.058737441,1153.0767614225,71.351933124,3.12405,270.0,18.7341,66.3896,,2.074,18.560166,21.22,2.64,1.6,15.553795,0.0,0.0,0.0058,26.565675,0.0,125.0,3.0,0.00138772,2.25,0.403157,1,,,1347.82263261,77.356045391
5,TARA_B100000116,215.2649227095,57.403955694,0.069576103,9.546771897,826.3385976775,23.091805148,0.049590988,0.451589849,0.165423833,0.769504617,0.0,0.0,193.0742220475,460.323214225,5.5607161705,59.30785,75.0,17.4847,67.9997,0.086921,0.04,13.831074,15.79,1.5,1.6,23.625385,0.0009,0.0012,0.0,24.4576,0.0,72.0,31.0,0.001387719,0.0,0.043242,1,,,1292.0816981285,33.859671511
6,TARA_B100000120,353.119306832,8.355365,0.1535432,53.002015958,546.581639711,18.989531826,42.283381243,1.592409907,3.286125075,3.005080537,0.0,0.0,155.034534279,162.553219752,13.53250579,2.94605,285.0,17.4855,68.0247,0.086921,1.334,19.610971,23.0,2.666,1.6,15.070405,0.0,0.0,0.0114,26.665425,0.0,73.0,71.0,0.001387719,0.0,0.043242,1,,,1063.0908458220001,76.589038228
7,TARA_B100000133,120.6575410625,21.3030187185,0.254888333,6.804956714,108.306850925,0.354328799,0.012711364,0.021630455,0.024058955,0.190266439,0.0,0.0,92.273539356,62.728931882,2.883492442,137.998083,80.0,5.9998,73.9067,,0.152,0.0,0.741,0.2505,1.6,27.9561,0.0036,0.01365,0.0024,22.474092,0.00295,84.0,105.0,0.001387698,8.0,0.15868,1,,,342.54095006200004,7.371182407000001
8,TARA_B100000261,337.2699224085,128.99308523,0.89766499,7.640044607999999,120.915998141,1.190940495,0.014210636,0.06255606,0.06703827,0.27387573,0.0,0.0,270.0099529505,149.773161402,4.00906539,185.755,5.0,-0.6625,73.161,0.059455,0.0045,0.436989,0.047,0.102,1.6,30.12475,0.00815,0.0026,0.00675,21.76745,0.00185,50.0,57.0,0.001279924,3.5,0.04222,1,,,857.18895873,9.167416893
9,TARA_B100000287,306.9223199305,90.217112044,1.239097703,20.383890813,1268.4887066885,9.917635298,0.327860836,1.532996808,1.822083752,6.357292342,0.0,0.0,281.490203794,494.2106807975,19.462416377,164.440063,60.0,14.5536,70.0128,0.026178,0.2375,0.0,7.847,0.846,1.6,27.374181,0.01485,0.0249,0.00665,23.734719,0.002,67.0,29.0,0.001387699,19.027778,-0.412443,1,,,1947.1183424570002,38.191815261
10,TARA_B100000315,289.257786416,52.885244159,33.854555195,1.45694624,101.728311699,6.122490175,12.50658417,1.655283599,7.268300667999999,1.48751654,0.0,0.0,276.313637302,1166.083196949,105.66369146,2.81625,600.0,20.8457,63.5851,0.06187,,31.290804,,,1.6,11.984006,0.0,0.0,0.0,27.130513,0.0,95.0,30.0,0.001387737,0.0,-0.087532,1,,,720.184979576,10.722236554
11,TARA_B100000444,240.506535598,16.642059822,0.347946965,0.719824729,185.480687525,7.212797988,0.0,1.42572421,0.0,0.1720040189999999,0.0,0.0,157.65044315,871.550327779,28.090418742,161.92525,800.0,-20.4075,-3.1641,0.047133,0.01,36.675625,36.73,2.522,3.0,4.188237,,,,27.333325,,,156.0,0.000787816,0.0,0.009208,1,,,600.279726095,9.530350945999999
